time v(/v0) v(/v1) v(/v2) v(/v3) v(/v4)
3.79381432086821e-07 0.222222222222222 0.180288024477717 0.215832524907188 0.219910636965944 0.0
3.79508198280761e-07 0.222222222222222 0.180522447742267 0.217361054680437 0.222233993324443 0.0
3.7963531696703e-07 0.222222222222222 0.180764357583361 0.218878491920684 0.223842086135996 0.0
3.79762857302305e-07 0.222222222222222 0.181013879461201 0.220351672733147 0.224300626561763 0.0
3.79890427152521e-07 0.222222222222222 0.181270210560999 0.221749808200016 0.223535649710072 0.0
3.80017635857071e-07 0.222222222222222 0.181532465232381 0.223051146090635 0.22113971548976 0.0
3.80144822312035e-07 0.222222222222222 0.181801234982971 0.224249618610247 0.219102600635236 0.0
3.80272332811406e-07 0.222222222222222 0.182077194696264 0.225345097380865 0.22046678506513 0.0
3.80399500279633e-07 0.222222222222222 0.182358816432915 0.226334508142195 0.224009192596686 0.0
3.80526564818955e-07 0.222222222222222 0.1826465127504 0.227226942216308 0.225270316824233 0.0
3.80653720162371e-07 0.222222222222222 0.182940633071025 0.228032730180907 0.223238504306458 0.0
3.80780810168895e-07 0.222222222222222 0.183240727036582 0.228760230779703 0.220998880568272 0.0
3.80908051299995e-07 0.222222222222222 0.183547217853984 0.229418653357039 0.220288819769696 0.0
3.81035854332613e-07 0.222222222222222 0.183861047986022 0.230014693081037 0.22057867131295 0.0
3.81163118988814e-07 0.222222222222222 0.184179417143494 0.230544119531628 0.222100247946091 0.0
3.81290186261822e-07 0.222222222222222 0.184503024968012 0.231004770656092 0.224563083370228 0.0
