# Version 1.00
#
freq[Hz]	Trc4_S21[dB]	Trc7_S21[°]	
3.239086465840093E+006	-5.996895051056017E+001	8.331498373628091E+001	
3.301330101002048E+006	-5.992371133521910E+001	8.275692091072646E+001	
3.364769835792411E+006	-5.957575896198655E+001	8.268374495104628E+001	
3.429428654960023E+006	-5.946471103942927E+001	8.221419718050387E+001	
3.495329984938234E+006	-5.946703873482861E+001	8.099339659886549E+001	
3.562497702332499E+006	-5.917748035549545E+001	8.241839950001220E+001	
3.630956142571072E+006	-5.898781584209784E+001	8.194623003721193E+001	
3.700730108721938E+006	-5.897558658696389E+001	8.350106441420809E+001	
3.771844880479167E+006	-5.877330072837547E+001	8.175123969980236E+001	
3.844326223321968E+006	-5.852288202589200E+001	8.343109134125348E+001	
3.918200397849732E+006	-5.849126464421835E+001	8.301981978878386E+001	
3.993494169296469E+006	-5.811436334204553E+001	8.208830004953857E+001	
4.070234817228081E+006	-5.805972253631505E+001	8.232033070163342E+001	
4.148450145425972E+006	-5.794224512586263E+001	8.294583404494190E+001	
4.228168491960596E+006	-5.775432482112957E+001	8.194091168935796E+001	
4.309418739458577E+006	-5.768313204933097E+001	8.266348592310317E+001	
4.392230325567125E+006	-5.746917833866117E+001	8.362280046638053E+001	
4.476633253619547E+006	-5.747957821564185E+001	8.342519214656930E+001	
4.562658103505702E+006	-5.735437345324810E+001	8.315506849102235E+001	
4.650336042751355E+006	-5.724348276269217E+001	8.266412088114875E+001	
4.739698837810434E+006	-5.711965078675953E+001	8.265238473919888E+001	
4.830778865574280E+006	-5.680647548453876E+001	8.203981255501306E+001	
4.923609125102069E+006	-5.682418836252555E+001	8.280656871218177E+001	
5.018223249576650E+006	-5.668816095546224E+001	8.383492380573381E+001	
5.114655518490125E+006	-5.647273295152333E+001	8.267624647455774E+001	
5.212940870063599E+006	-5.641295343766591E+001	8.256767973941960E+001	
5.313114913905595E+006	-5.639970801432317E+001	8.175005259202273E+001	
5.415213943913708E+006	-5.606843071687937E+001	8.258463661922383E+001	
5.519274951424193E+006	-5.593788621687396E+001	8.246259458556831E+001	
5.625335638614235E+006	-5.588377840047958E+001	8.296867465874445E+001	
5.733434432161764E+006	-5.573362214302984E+001	8.279870426666913E+001	
5.843610497167768E+006	-5.569554819085093E+001	8.388221183792173E+001	
5.955903751346132E+006	-5.531056621473233E+001	8.421254537615866E+001	
6.070354879486163E+006	-5.541727312428216E+001	8.452449005736054E+001	
6.187005348193034E+006	-5.514532172949458E+001	8.404369917653784E+001	
6.305897420911478E+006	-5.508979424276770E+001	8.396507945224610E+001	
6.427074173238195E+006	-5.502465605716385E+001	8.504696362415629E+001	
6.550579508528496E+006	-5.471653851259846E+001	8.473962874680181E+001	
6.676458173802866E+006	-5.467722938722946E+001	8.427031796510195E+001	
6.804755775959174E+006	-5.441838826098798E+001	8.590650960028587E+001	
6.935518798296447E+006	-5.436293159902972E+001	8.506600065629117E+001	
7.068794617356151E+006	-5.401459556744881E+001	8.638981585105893E+001	
7.204631520087116E+006	-5.397972382489682E+001	8.688069505782869E+001	
7.343078721340299E+006	-5.379932983404755E+001	8.691755477969662E+001	
7.484186381699737E+006	-5.365707215329520E+001	8.615287574902044E+001	
7.628005625656155E+006	-5.340474046039454E+001	8.713325094963922E+001	
7.774588560129792E+006	-5.325225641387075E+001	8.709366238931881E+001	
7.923988293349175E+006	-5.299970652218711E+001	8.727400590980155E+001	
8.076258954092683E+006	-5.285686456967860E+001	8.817615489844819E+001	
8.231455711299853E+006	-5.279897113291352E+001	8.786105880226319E+001	
8.389634794059550E+006	-5.264562329549114E+001	8.796530060022879E+001	
8.550853511982242E+006	-5.251157401588043E+001	8.861933310784744E+001	
8.715170275963750E+006	-5.225565652039906E+001	8.811730809066005E+001	
8.882644619348006E+006	-5.220431631939954E+001	8.839470963174446E+001	
9.053337219496487E+006	-5.199387379364033E+001	8.775182040672858E+001	
9.227309919772128E+006	-5.177408292098065E+001	8.848460728871692E+001	
9.404625751945697E+006	-5.162951142998308E+001	8.800511352840132E+001	
9.585348959032731E+006	-5.141564262808577E+001	8.852395840473433E+001	
9.769545018569324E+006	-5.134604313390982E+001	8.797590761495333E+001	
9.957280666335184E+006	-5.102646168489566E+001	8.882652737839089E+001	
1.014862392053257E+007	-5.093727551098854E+001	8.875329150966266E+001	
1.034364410642985E+007	-5.088383070251915E+001	8.798399742599989E+001	
1.054241188147866E+007	-5.067667459655182E+001	8.927025397586132E+001	
1.074499926091362E+007	-5.049892716067913E+001	8.927467458613276E+001	
1.095147964384416E+007	-5.035715371403303E+001	8.876109843607739E+001	
1.116192783984754E+007	-5.013548737717260E+001	8.812136445994931E+001	
1.137642009607304E+007	-5.008504188163844E+001	8.885395797127139E+001	
1.159503412486694E+007	-4.976756979499179E+001	8.874674023408097E+001	
1.181784913192834E+007	-4.967906091869404E+001	8.831124667055452E+001	
1.204494584500605E+007	-4.945843220082626E+001	8.898351400523823E+001	
1.227640654314694E+007	-4.933806870414652E+001	8.855880292918305E+001	
1.251231508650634E+007	-4.917090667900628E+001	8.905312725260404E+001	
1.275275694673125E+007	-4.909734241426730E+001	8.899021519087998E+001	
1.299781923792746E+007	-4.890780720808441E+001	8.923778685077406E+001	
1.324759074822172E+007	-4.862911889103887E+001	8.915702681763567E+001	
1.350216197193042E+007	-4.848202836410164E+001	8.860209020771868E+001	
1.376162514234643E+007	-4.839152774539632E+001	8.874715285442129E+001	
1.402607426515601E+007	-4.820098134517736E+001	8.860314065568463E+001	
1.429560515249786E+007	-4.801211892688976E+001	8.914103821611940E+001	
1.457031545767666E+007	-4.777755341995690E+001	8.879824294036290E+001	
1.485030471054367E+007	-4.760347317239661E+001	8.820340878405317E+001	
1.513567435355726E+007	-4.748371149274507E+001	8.828550705729795E+001	
1.542652777853634E+007	-4.733304968920661E+001	8.842954880288600E+001	
1.572297036412009E+007	-4.710285500932960E+001	8.824201848259150E+001	
1.602510951394754E+007	-4.702592607497807E+001	8.833627063956878E+001	
1.633305469557078E+007	-4.676901041518753E+001	8.778416216093991E+001	
1.664691748011602E+007	-4.661550502964732E+001	8.832244832767064E+001	
1.696681158270669E+007	-4.647021371990422E+001	8.841316289736764E+001	
1.729285290366343E+007	-4.631965166909711E+001	8.828539540005127E+001	
1.762515957049575E+007	-4.606186574479150E+001	8.827573670112248E+001	
1.796385198070056E+007	-4.593764887848727E+001	8.858991545054329E+001	
1.830905284538328E+007	-4.575731424750192E+001	8.868618230374847E+001	
1.866088723371703E+007	-4.557296056506859E+001	8.867160271238025E+001	
1.901948261825629E+007	-4.545257184881525E+001	8.860126297132248E+001	
