Time	V(t)	I(t)
1.16E-07	1.18E-01	4.29E-03
1.17E-07	7.76E-02	3.28E-03
1.17E-07	3.42E-02	-3.73E-03
1.18E-07	-1.13E-02	-2.98E-03
1.18E-07	-7.39E-02	-5.84E-03
1.18E-07	-9.35E-02	-6.72E-03
1.19E-07	-1.34E-01	-1.28E-02
1.19E-07	-1.40E-01	-1.02E-02
1.20E-07	-1.50E-01	-1.28E-02
1.20E-07	-1.57E-01	-1.30E-02
1.20E-07	-1.41E-01	-1.58E-02
1.21E-07	-1.32E-01	-1.80E-02
1.21E-07	-1.28E-01	-1.80E-02
1.22E-07	-1.21E-01	-1.98E-02
1.22E-07	-1.04E-01	-2.39E-02
1.22E-07	-1.04E-01	-2.39E-02
1.23E-07	-7.22E-02	-2.78E-02
1.23E-07	-4.81E-02	-3.00E-02
1.24E-07	-4.00E-02	-3.00E-02
1.24E-07	-4.38E-02	-3.19E-02
1.24E-07	-2.80E-02	-3.59E-02
1.25E-07	-4.42E-02	-3.70E-02
1.25E-07	-3.97E-02	-4.30E-02
1.26E-07	-3.61E-02	-4.40E-02
1.26E-07	-4.34E-02	-4.60E-02
1.26E-07	-2.39E-02	-5.00E-02
1.27E-07	-3.58E-02	-4.90E-02
1.27E-07	-1.54E-02	-5.50E-02
1.28E-07	-1.58E-02	-5.19E-02
1.28E-07	4.69E-03	-5.98E-02
1.28E-07	1.22E-02	-5.80E-02
1.29E-07	2.00E-02	-6.09E-02
1.29E-07	4.43E-02	-6.10E-02
1.30E-07	6.41E-02	-6.10E-02
1.30E-07	7.20E-02	-6.20E-02
1.30E-07	8.33E-02	-6.38E-02
1.31E-07	1.03E-01	-6.61E-02
1.31E-07	1.19E-01	-6.22E-02
1.32E-07	1.39E-01	-6.36E-02
1.32E-07	1.48E-01	-6.71E-02
1.32E-07	1.52E-01	-6.40E-02
1.33E-07	1.56E-01	-6.62E-02
1.33E-07	1.48E-01	-6.80E-02
1.34E-07	1.40E-01	-6.70E-02
1.34E-07	1.44E-01	-6.92E-02
1.34E-07	1.27E-01	-7.10E-02
1.35E-07	1.28E-01	-7.10E-02
1.35E-07	1.07E-01	-7.23E-02
1.36E-07	9.94E-02	-7.49E-02
1.36E-07	8.69E-02	-7.31E-02
1.36E-07	7.52E-02	-7.62E-02
1.37E-07	5.92E-02	-7.72E-02
1.37E-07	5.12E-02	-7.89E-02
1.38E-07	3.98E-02	-7.70E-02
1.38E-07	4.41E-02	-7.92E-02
1.38E-07	3.50E-02	-8.05E-02
1.39E-07	2.41E-02	-8.26E-02
1.39E-07	2.76E-02	-7.76E-02
1.40E-07	1.60E-02	-8.08E-02
1.40E-07	2.88E-02	-8.41E-02
1.40E-07	2.32E-02	-8.28E-02
1.41E-07	2.01E-02	-8.32E-02
