time v(/en) v(/clk) v(/rstb) v(/serial_out) v(/net97) v(/en_out)
0.000150134256064149 2.50000000000001 1.82871967936598 2.50000000000028 1.18784729511392 0.000172319307672474 0.000172181086651408
0.00015016294820041 2.50000000000002 1.68525899806484 2.50000000000049 1.1879160965428 0.000539364026509721 0.000539128963793868
0.000150194763651124 2.50000000000003 1.52618174449765 2.5000000000007 1.18802918249919 0.0011528505295942 0.00115252331401927
0.000150234226998405 2.50000000000004 1.32886500809918 2.50000000000089 1.18820906797094 0.00215238032088795 0.00215196980762487
0.000150276749986318 2.50000000000005 1.1162500685492 2.50000000000104 1.18843478457277 0.00344721865410164 0.0034467432650864
0.00015028583956008 2.50000000000004 1.07080219975974 2.50000000000098 1.18848330229971 0.00373247759136126 0.0037320391322732
0.00015029038434696 2.50000000000006 1.04807826539285 2.50000000000091 1.1885047309419 0.0038610909059317 0.00386070212408813
0.000150292434182557 2.50000000000026 1.03782908744826 2.50000000000088 1.18851339764917 0.00391436520199541 0.00391398922569376
0.000150294469868027 2.50000000000163 1.0276506601504 2.50000000000126 1.18852723364297 0.00400299536510495 0.00400211643280832
0.000150295621898039 2.50000000000517 1.02189051010687 2.50000000000313 1.18854809931466 0.00414459252214925 0.00414202838078056
0.000150297252487467 2.50000000001227 1.01373756303814 2.50000000000761 1.18863923436282 0.00469303250763731 0.00468601361278354
0.000150298423422934 2.50000000001776 1.00788288571713 2.50000000000939 1.18876889614856 0.00543454325248343 0.0054234000096154
0.000150299748728948 2.50000000002148 1.00125635570519 2.49999999999809 1.18897973135134 0.00656096676998692 0.00654746474198371
0.000150300024147752 2.50000000002205 0.999879261675616 2.49999999998842 1.18902665638457 0.00682500263544505 0.00681085835176574
0.000150300574985358 2.50000000001903 0.997125073654437 2.49999999995086 1.18913459924702 0.00738254124512362 0.00736780720020223
0.000150301027292944 2.50000000001106 0.994863535663058 2.49999999989114 1.18922379541468 0.00779847430639584 0.00779100463024346
0.00015030111395356 2.50000000000972 0.994430232595326 2.4999999998932 1.18924634489029 0.00787667865925971 0.00786379075820582
0.000150301212033154 2.50000000000738 0.993939834606342 2.49999999988223 1.18925675117207 0.00794501922011583 0.00793253672750159
0.000150301243339155 2.50000000000931 0.993783304635253 2.49999999989867 1.18927221652223 0.00797745092153992 0.00795719406914935
0.000150301305951157 2.50000000000582 0.99347024459278 2.49999999987411 1.18931251189331 0.00800791064471172 0.00798139939767991
0.000150301343492138 2.50000000000345 0.993282539669218 2.50000000000938 1.18930365624766 0.00799045793076912 0.00796752865882634
0.000150301365501647 2.49999999999872 0.993172492097493 2.50000000022917 1.18927913163574 0.00797636940312313 0.00795522922263047
0.000150301385986729 2.49999999999799 0.9930700667236 2.50000000039784 1.18926275296569 0.00797874510375898 0.00795414706840777
0.000150301406760202 2.49999999999321 0.992966199347202 2.50000000054485 1.18926222826823 0.00799480494333265 0.00796509889472883
0.000150301429470464 2.49999999999013 0.992852648062158 2.50000000057323 1.18927478048088 0.00801321996769027 0.00798275030668026
