time v(/en) v(/clk) v(/rstb) v(/word) v(/net066) v(/en_out) v(/W0) v(/W1) v(/W2) v(/W3) v(/W4) v(/W5) v(/W6) v(/W7)
5.00376231087289e-05 2.42791908591826e-11 0.618844567188397 2.50000000049112 2.50000000000158 0.000934988587332079 0.000942667353888059 0.000948171020371013 2.49940680203495 0.00094815463423972 2.4994075273996 0.000948154996760033 0.000948154772537402 0.000948154802237453 0.000948150013491207
5.00389339206187e-05 -2.56122416990943e-11 0.553303971332791 2.49999999942768 2.49999999999627 0.000360593035378469 0.000360283469013467 0.00036245363345555 2.49935925801754 0.000362467563529973 2.49935860217168 0.00036246721537642 0.000362467432625526 0.000362467403186051 0.000362471389697439
5.00402237364237e-05 2.50035885296324e-11 0.488813181880616 2.50000000053495 2.50000000000272 8.14475917641757e-05 8.51184659468626e-05 8.66265065633523e-05 2.4993693455703 8.66148532904499e-05 2.49936980725215 8.66151972780754e-05 8.66149841642645e-05 8.66150139182866e-05 8.66117602948887e-05
5.00415825159696e-05 -2.52206528717932e-11 0.420874203494073 2.49999999945549 2.49999999999699 2.58282730911714e-05 2.30841884643728e-05 2.23648285017883e-05 2.49933356111544 2.23737756090041e-05 2.49933310186213 2.23734456042921e-05 2.23736474933291e-05 2.23736180751928e-05 2.23760145903418e-05
5.00438008740924e-05 2.52218022033505e-11 0.309956298397077 2.50000000054198 2.50000000000295 -1.99268335733598e-05 -1.70088401845378e-05 -1.60138902674535e-05 2.49936362080369 -1.60215642545981e-05 2.49936386382954 -1.602123600968e-05 -1.60214350172529e-05 -1.60214052581489e-05 -1.60234047451762e-05
5.00453696175953e-05 -2.52872444325899e-11 0.231519122247113 2.49999999945855 2.49999999999701 1.38845435718935e-06 -1.51649509466987e-06 -2.71877562987024e-06 2.49933000411641 -2.71358899010952e-06 2.49932982133606 -2.71390355869217e-06 -2.71371687635965e-06 -2.71374629075936e-06 -2.71251933654014e-06
5.00476848087977e-05 2.53410032220721e-11 0.115759563197993 2.50000000054099 2.500000000003 -1.98166862210619e-05 -1.69402486901768e-05 -1.56597978197314e-05 2.49936516719003 -1.56637747198776e-05 2.49936525851923 -1.56634609855224e-05 -1.5663643819133e-05 -1.56636140624449e-05 -1.56644725160464e-05
5.005e-05 -2.54054320691859e-11 2.10043593380739e-09 2.49999999945909 2.49999999999696 -1.38837994059788e-06 -4.22339767428905e-06 -5.63809659222357e-06 2.49932896259466 -5.63588414770326e-06 2.49932889880632 -5.63618720636202e-06 -5.63601470660724e-06 -5.63604411871556e-06 -5.6357265170593e-06
5.00509733729385e-05 6.21902659797791e-14 -8.02571203939451e-12 2.50000000000095 2.50000000000005 7.87943456938977e-07 6.5829543568936e-07 6.04526392130535e-07 2.49934917071962 6.05259016726729e-07 2.49934913532281 6.05258178674591e-07 6.05261247015994e-07 6.05261417626829e-07 6.05477914227112e-07
5.005230644471e-05 -8.05234943718984e-14 -6.5971533791398e-12 2.49999999999874 2.49999999999993 -3.72240590739096e-07 -2.26995075813049e-07 -2.11575124474425e-07 2.49934591725035 -2.12593229389722e-07 2.49934592694272 -2.12587511917929e-07 -2.12593918180402e-07 -2.12593746583608e-07 -2.12880332393943e-07
