Time	2kV
-34.1E-9	0.0250976
-34.0E-9	-0.228676
-33.9E-9	-0.0263477
-33.8E-9	0.149395
-33.7E-9	0.0465043
-33.6E-9	0.0858651
-33.5E-9	0.234331
-33.4E-9	0.186684
-33.3E-9	0.0513381
-33.2E-9	-0.044647
-33.1E-9	0.0872462
-33.0E-9	-0.0387774
-32.9E-9	-0.00459569
-32.8E-9	0.0212996
-32.7E-9	-0.107486
-32.6E-9	-0.0978187
-32.5E-9	-0.244559
-32.4E-9	-0.221771
-32.3E-9	-0.0601842
-32.2E-9	0.18185
-32.1E-9	-0.177921
-32.0E-9	-0.229021
-31.9E-9	0.00300026
-31.8E-9	-0.137525
-31.7E-9	-0.0667443
-31.6E-9	0.0105962
-31.5E-9	-0.216592
-31.4E-9	-0.0384322
-31.3E-9	0.00990567
-31.2E-9	0.0661847
-31.1E-9	0.11763
-31.0E-9	0.110379
-30.9E-9	0.14974
-30.8E-9	0.0344199
-30.7E-9	0.166658
-30.6E-9	0.0572077
-30.5E-9	-0.0843531
-30.4E-9	-0.152717
-30.3E-9	-0.100926
-30.2E-9	-0.044647
-30.1E-9	0.0779239
-30.0E-9	0.104855
-29.9E-9	0.128679
-29.8E-9	-0.0550051
-29.7E-9	-0.128202
-29.6E-9	-0.142013
-29.5E-9	-0.135108
-29.4E-9	-0.134763
-29.3E-9	-0.183791
-29.2E-9	-0.0325626
-29.1E-9	-0.0677801
-29.0E-9	-0.223497
-28.9E-9	-0.137179
-28.8E-9	0.0692922
-28.7E-9	-0.0194423
-28.6E-9	-0.0674349
-28.5E-9	-0.180338
-28.4E-9	-0.234891
-28.3E-9	-0.0287646
-28.2E-9	-0.0615653
-28.1E-9	0.0824124
-28.0E-9	-0.0667443
-27.9E-9	-0.104724
-27.8E-9	-0.0550051
-27.7E-9	-0.039468
-27.6E-9	0.083103
-27.5E-9	-0.0978187
-27.4E-9	0.160444
-27.3E-9	-0.0384322
-27.2E-9	-0.378178
-27.1E-9	-0.20865
-27.0E-9	-0.00355987
-26.9E-9	0.184612
-26.8E-9	0.0993307
-26.7E-9	-0.0608747
-26.6E-9	0.083103
-26.5E-9	-0.0149538
-26.4E-9	-0.057422
-26.3E-9	-0.0287646
-26.2E-9	-0.113011
-26.1E-9	-0.0774477
-26.0E-9	-0.137525
-25.9E-9	-0.0056315
-25.8E-9	-0.141323
-25.7E-9	-0.0615653
-25.6E-9	0.193935
-25.5E-9	-0.193113
-25.4E-9	-0.332948
-25.3E-9	-0.247666
-25.2E-9	-0.10576
-25.1E-9	-0.0515524
-25.0E-9	0.0699827
-24.9E-9	0.118321
-24.8E-9	-0.0677801
-24.7E-9	-0.0791741
-24.6E-9	-0.122678
-24.5E-9	-0.0294551
-24.4E-9	0.0751618
-24.3E-9	0.0962232
-24.2E-9	-0.159622
-24.1E-9	-0.187244
-24.0E-9	-0.126821
-23.9E-9	0.0036908
-23.8E-9	-0.01012
-23.7E-9	-0.0636369
-23.6E-9	-0.198292
-23.5E-9	-0.199328
-23.4E-9	-0.105069
-23.3E-9	0.102438
-23.2E-9	0.0641131
-23.1E-9	-0.137179
-23.0E-9	-0.0453376
-22.9E-9	0.151466
-22.8E-9	-0.0705423
-22.7E-9	-0.137525
