time v(/Ch1)
2.42210938983351e-07 -0.479674555223388
2.42290938983351e-07 -0.479611996689262
2.42370938983351e-07 -0.479498119471164
2.42450938983351e-07 -0.479341987723893
2.42530938983351e-07 -0.479252875094191
2.42610938983351e-07 -0.479199504997879
2.42690938983351e-07 -0.479059629119491
2.42770938983351e-07 -0.478811692177503
2.42850938983351e-07 -0.478562284658779
2.42930938983351e-07 -0.478290862740552
2.43010938983351e-07 -0.478074166754678
2.43090938983351e-07 -0.47779706074228
2.43210938983351e-07 -0.477329086550722
2.43330938983351e-07 -0.476882359651919
2.43410938983351e-07 -0.476564831335362
2.43490938983351e-07 -0.476217774229489
2.43890938983351e-07 -0.474450616663805
2.43970938983351e-07 -0.474094223283746
2.44050938983351e-07 -0.473778602723438
2.44130938983351e-07 -0.473431086548589
2.44210938983351e-07 -0.473097204318292
2.44290938983351e-07 -0.472789006660808
2.44370938983351e-07 -0.472448708201912
2.44450938983351e-07 -0.472149197814124
2.44530938983351e-07 -0.471875500301198
2.44610938983351e-07 -0.471638339477223
2.44690938983351e-07 -0.471421834863585
2.44770938983351e-07 -0.471222687008741
2.44850938983351e-07 -0.471047530297448
2.44930938983351e-07 -0.470892543165337
2.45010938983351e-07 -0.47077166064859
2.45090938983351e-07 -0.470678330210328
2.45170938983351e-07 -0.470592146781241
2.45250938983351e-07 -0.470520890444247
2.45330938983351e-07 -0.470443081505824
2.45410938983351e-07 -0.470373733670909
2.45490938983351e-07 -0.47030600203718
2.45570938983351e-07 -0.470186910909013
2.45650938983351e-07 -0.470179181651029
2.45730938983351e-07 -0.47015671156331
2.45810938983351e-07 -0.470098259505375
2.45890938983351e-07 -0.470039440449238
2.45970938983351e-07 -0.469860094789211
2.46050938983351e-07 -0.469670879279879
2.46130938983351e-07 -0.469521401755975
2.46210938983351e-07 -0.469360268804358
2.46290938983351e-07 -0.469149135988212
2.46370938983351e-07 -0.46893496325179
2.46450938983351e-07 -0.468723912033554
2.46530938983351e-07 -0.468483309767938
2.46610938983351e-07 -0.468207754145755
2.46730938983351e-07 -0.467713962683297
2.46850938983351e-07 -0.467212557253111
2.46930938983351e-07 -0.466858167515884
2.47010938983351e-07 -0.466491023036244
2.47410938983351e-07 -0.464499449328611
2.47490938983351e-07 -0.464091531606295
2.47570938983351e-07 -0.463750510133591
2.47650938983351e-07 -0.463342246362962
2.47730938983351e-07 -0.462862644248073
2.47810938983351e-07 -0.462507872175884
2.47890938983351e-07 -0.462145296384446
2.47970938983351e-07 -0.461768551715255
2.48050938983351e-07 -0.461404725313781
2.48130938983351e-07 -0.461035497256224
2.48210938983351e-07 -0.460714778372755
2.48290938983351e-07 -0.460386562967192
2.48370938983351e-07 -0.460084749388432
2.48450938983351e-07 -0.459809637046387
2.48530938983351e-07 -0.459551712062885
2.48610938983351e-07 -0.459301953024369
2.48690938983351e-07 -0.459070625505894
2.49090938983351e-07 -0.457948808895221
2.50530938983351e-07 -0.453711342026872
2.50610938983351e-07 -0.453475154965876
2.50690938983351e-07 -0.45323968283069
2.50770938983351e-07 -0.453009290817699
2.50850938983351e-07 -0.452809942035353
2.50930938983351e-07 -0.452595884784376
2.51010938983351e-07 -0.452363873405695
2.51090938983351e-07 -0.452141404233631
2.51170938983351e-07 -0.452034625830506
2.51250938983351e-07 -0.452010507526378
2.51330938983351e-07 -0.451939641689674
2.51410938983351e-07 -0.451838378773877
2.51490938983351e-07 -0.451745529423002
2.51570938983351e-07 -0.451669389353609
2.51650938983351e-07 -0.451601021658303
2.51730938983351e-07 -0.451534067064896
2.51810938983351e-07 -0.451468193476607
2.51890938983351e-07 -0.451405525716663
2.51970938983351e-07 -0.451350115635301
2.52050938983351e-07 -0.451303070090728
2.52130938983351e-07 -0.451260254083144
2.52210938983351e-07 -0.451230837027923
2.52290938983351e-07 -0.451221281459893
2.52370938983351e-07 -0.451214738301028
2.52450938983351e-07 -0.451204260497732
2.52530938983351e-07 -0.451199076462067
2.52610938983351e-07 -0.451206818694913
2.52690938983351e-07 -0.451229426841548
2.52770938983351e-07 -0.451263200361868
2.52850938983351e-07 -0.451299533119242
2.52930938983351e-07 -0.451288191599677
2.53010938983351e-07 -0.451193764565633
2.53090938983351e-07 -0.451088905949346
2.53170938983351e-07 -0.451026063380157
2.53250938983351e-07 -0.450978289748888
2.53370938983351e-07 -0.450887199142294
2.53490938983351e-07 -0.450790488920773
