XXXX,,,,
Generated by XXXX,,,,
XXXX
,,,,
,,,,
XXXX,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
risetime=100p start=5u load=1M ,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
delay=5u ,,,,
,,,,
,,,,
amplitude,length,nominal,min_vclamp9,width(s)
-26,0.000000788,8.0217,-2.4867,7.88112E-007
-26,0.000001,8.0217,-2.4867,1.00007E-006
-28,0.000000001,8.0217,-2.6033,1.06327E-009
-28,1.26896E-009,8.0217,-2.6033,1.33238E-009
-28,1.61026E-009,8.0217,-2.6033,1.67385E-009
-28,0.000000002,8.0217,-2.6033,2.10712E-009
-28,2.59294E-009,8.0217,-2.6033,2.65688E-009
-28,3.29034E-009,8.0217,-2.6033,3.35447E-009
-28,4.17532E-009,8.0217,-2.6033,4.23963E-009
-28,5.29832E-009,8.0217,-2.6033,5.36283E-009
-28,6.72336E-009,8.0217,-2.6033,6.78806E-009
-28,8.53168E-009,8.0217,-2.6033,8.59656E-009
-28,1.08264E-008,8.0217,-2.6033,1.08914E-008
-28,1.37382E-008,8.0217,-2.6033,1.38035E-008
-28,1.74333E-008,8.0217,-2.6033,1.74987E-008
-28,2.21222E-008,8.0217,-2.6033,2.21878E-008
-28,2.80722E-008,8.0217,-2.6033,2.8138E-008
-28,3.56225E-008,8.0217,-2.6033,3.56885E-008
-28,4.52035E-008,8.0217,-2.6033,4.52697E-008
-28,5.73615E-008,8.0217,-2.6033,5.74279E-008
-28,7.27895E-008,8.0217,-2.6033,7.28561E-008
-28,9.23671E-008,8.0217,-2.6033,9.24338E-008
-28,1.1721E-007,8.0217,-2.6033,1.17277E-007
-28,1.48735E-007,8.0217,-2.6033,1.48802E-007
-28,1.88739E-007,8.0217,-2.6033,1.88807E-007
-28,2.39503E-007,8.0217,-2.6033,2.3957E-007
-28,3.0392E-007,8.0217,-2.6033,0.000000304
-28,3.85662E-007,8.0217,-2.6033,3.8573E-007
-28,4.8939E-007,8.0217,-2.6033,4.89459E-007
-28,0.000000621,8.0217,-2.6033,6.21087E-007
-28,0.000000788,8.0217,-2.6033,7.88118E-007
-28,0.000001,8.0217,-2.6033,1.00007E-006
-30,0.000000001,8.0217,-2.72014,1.06731E-009
-30,1.26896E-009,8.0217,-2.72014,1.33642E-009
-30,1.61026E-009,8.0217,-2.72014,1.67788E-009
-30,0.000000002,8.0217,-2.72014,2.11114E-009
-30,2.59294E-009,8.0217,-2.72014,2.66089E-009
-30,3.29034E-009,8.0217,-2.72014,3.35847E-009
-30,4.17532E-009,8.0217,-2.72014,4.24363E-009
-30,5.29832E-009,8.0217,-2.72014,5.36681E-009
-30,6.72336E-009,8.0217,-2.72014,6.79203E-009
-30,8.53168E-009,8.0217,-2.72014,8.60051E-009
-30,1.08264E-008,8.0217,-2.72014,1.08954E-008
-30,1.37382E-008,8.0217,-2.72014,1.38074E-008
