Measurement report of dcv_sheet_total_v2,,,,,,
Generated by DesCoVer 2.6.0,,,,,,
Date,2017-03-04 03:02:25 -0600,Author,b48923,,,
,,,,,,
,,,,,,
Testbench: LIB: esd_sm8mvLib - CELL: wunchbell_patrice - VIEW: schematic_total - Sat Mar 04 03:02:28 CST 2017,,,,,,
,,,,,,
,,,,,,
Setup: Parameters or device casing alteration,,,,,,
Err:510,,,,,,
risetime=1n start=45u ,,,,,,
,,,,,,
,,,,,,
amplitude,length,time,vin,v2p5,vclamp9,v1p0
-20,0.0000001,1.04458E-006,11.866,0.00322203,8.04249,0.00832296
-20,0.0000001,1.04569E-006,11.8664,0.00383673,8.04186,0.00824558
-20,0.0000001,1.04691E-006,11.8668,0.00455368,8.04117,0.00815784
-20,0.0000001,1.0485E-006,11.8673,0.00533134,8.04032,0.00803574
-20,0.0000001,1.0502E-006,11.8678,0.00592074,8.03946,0.00789877
-20,0.0000001,1.05167E-006,11.8683,0.0061904,8.03875,0.00777709
-20,0.0000001,1.05319E-006,11.8688,0.00634145,8.03804,0.00765451
-20,0.0000001,1.05487E-006,11.8693,0.00637712,8.03729,0.00752453
-20,0.0000001,1.0569E-006,11.8698,0.006362,8.03641,0.00737497
-20,0.0000001,1.05938E-006,11.8705,0.00636334,8.03537,0.00720425
-20,0.0000001,0.000001063,11.8714,0.00655498,8.0339,0.00697266
-20,0.0000001,1.06763E-006,11.8725,0.00720152,8.03214,0.00669686
-20,0.0000001,1.07247E-006,11.8736,0.00828123,8.03046,0.006423
-20,0.0000001,1.07746E-006,11.8746,0.00969158,8.02886,0.00615461
-20,0.0000001,1.0832E-006,11.8756,0.0115704,8.02718,0.0058607
-20,0.0000001,1.09075E-006,11.8768,0.014314,8.02522,0.00550114
-20,0.0000001,1.10022E-006,11.8781,0.0181185,8.02308,0.00509225
-20,0.0000001,1.11439E-006,11.8796,0.0244815,8.02046,0.00457601
-20,0.0000001,1.13083E-006,11.881,0.032821,8.01812,0.00412579
-20,0.0000001,1.14972E-006,11.8822,0.0432863,8.01613,0.00380125
-20,0.0000001,1.16552E-006,11.8829,0.0524883,8.0149,0.00367368
-20,0.0000001,1.1841E-006,11.8835,0.0636371,8.01381,0.00366718
-20,0.0000001,1.21058E-006,11.8841,0.080025,8.01275,0.0038606
-20,0.0000001,1.21776E-006,11.8842,0.0844957,8.01254,0.00394238
-20,0.0000001,1.22135E-006,11.8843,0.0868134,8.01242,0.00398817
-20,0.0000001,1.22853E-006,11.8844,0.0912786,8.01215,0.00408382
-20,0.0000001,1.23094E-006,11.8844,0.092893,8.01201,0.0041245
-20,0.0000001,1.23574E-006,11.8844,0.0958371,8.01173,0.00422317
-20,0.0000001,1.2421E-006,11.8845,0.1,8.01132,0.00460888
-20,0.0000001,1.25192E-006,11.8845,0.106179,8.00991,0.00756985
-20,0.0000001,1.25509E-006,11.8845,0.108339,8.00941,0.00950805
-20,0.0000001,1.26143E-006,11.8846,0.112326,8.00902,0.0149597
-20,0.0000001,0.000001264,11.8846,0.114084,8.00896,0.0176105
-20,0.0000001,0.000001269,11.8846,0.117275,8.00877,0.0232766
-20,0.0000001,1.27561E-006,11.8847,0.121679,8.0085,0.0309951
-20,0.0000001,1.28433E-006,11.8847,0.127321,8.0082,0.0413671
-20,0.0000001,1.29521E-006,11.8848,0.134622,8.00778,0.0543292
-20,0.0000001,0.000001317,11.8849,0.149205,8.007,0.08063
-20,0.0000001,1.35272E-006,11.8849,0.174378,8.00571,0.126023
-20,0.0000001,1.36471E-006,11.8849,0.183013,8.00527,0.142003
-20,0.0000001,1.3887E-006,11.885,0.201153,8.00439,0.17528
-20,0.0000001,1.39467E-006,11.885,0.205712,8.00416,0.183867
-20,0.0000001,1.40662E-006,11.885,0.215276,8.00371,0.201417
-20,0.0000001,1.41116E-006,11.885,0.218914,8.00353,0.20824
-20,0.0000001,1.42026E-006,11.885,0.226535,8.00318,0.222118
-20,0.0000001,1.43014E-006,11.885,0.234992,8.00279,0.237543
-20,0.0000001,1.43194E-006,11.885,0.23662,8.00272,0.240399
-20,0.0000001,1.43555E-006,11.885,0.23982,8.00259,0.246149
-20,0.0000001,1.44277E-006,11.885,0.246451,8.00232,0.25778
-20,0.0000001,1.44829E-006,11.885,0.251691,8.0021,0.266807
-20,0.0000001,1.4564E-006,11.885,0.259731,8.00177,0.280243
-20,0.0000001,0.000001465,11.885,0.268673,8.00143,0.294696
-20,0.0000001,1.46868E-006,11.885,0.272652,8.00128,0.301039
-20,0.0000001,1.47611E-006,11.885,0.280737,8.00096,0.313932
-20,0.0000001,1.47879E-006,11.885,0.283662,8.00085,0.318651
-20,0.0000001,1.48415E-006,11.885,0.289652,8.00062,0.328195
-20,0.0000001,0.000001494,11.885,0.300932,8.00019,0.345922
-20,0.0000001,1.50492E-006,11.885,0.31423,7.9997,0.366002
-20,0.0000001,1.51857E-006,11.8849,0.331538,7.9991,0.391082
